"index","mzmed","rtmed","matched","qSvsMB","qSvsNC","modelPredicted","predictVal","MB_0","MB_1","MB_2.5","MB_4.5","MB_6.5","MB_8.5","MB_26.5","NC_0","NC_1","NC_2.5","NC_4.5","NC_6.5","NC_8.5","NC_26.5","S1_0","S1_1","S1_2.5","S1_4.5","S1_6.5","S1_8.5","S1_26.5","S2_0","S2_1","S2_2.5","S2_4.5","S2_6.5","S2_8.5","S2_26.5","S3_0","S3_1","S3_2.5","S3_4.5","S3_6.5","S3_8.5","S3_26.5"
"18",94,128.95825,75.2857,0,0.335379862316005,0.737317465522156,FALSE,1,1382.33,1851.1,395.51,3822.15,3375.63,2292.21,5081.97,14168.52,16837.32,2753.44,5671.53,3695.39,4189.5,4189.5,15604.05,15847.23,3760.42,5210.38,3517.44,5202.64,7325.47,15042.02,16438.26,3336.99,4101.08,5535.03,4071.93,7184.41,14914.66,15576.76,3179.73,5672.07,5349.73,5840.73,5281.06
"19",98,129.01816,189.1945,0,0.087033045648778,0.0860902583140384,FALSE,1,33.01,93.55,246.99,273.79,204.8,339.45,297.04,1273,1416.67,1179.35,3456.72,3592.67,2155.59,2155.59,1255.18,1276.59,1416.39,204.67,170.49,256.78,204.39,1134.82,1310.68,1249.72,235.1,462.39,377.43,291.05,1201.98,1898.45,1444.95,358.85,390.72,321.03,364.41
"20",145,131.08942,799.619,0,0.522545443726717,0.020978529014032,FALSE,1,50.88,121.61,324.15,1091,612.05,560.53,666.23,92.19,219.1,312.51,679.4,570.59,567.72,567.72,62.82,175.77,399.97,833.43,608.07,1489.83,1625.98,62.89,175.8,387.33,712.26,1137.46,1786.27,1978.5,77.92,251.66,384.85,651.99,1567.81,1981.09,718.05
"21",148,131.99922,662.897,0,0.606908332042184,0.00507137418505687,FALSE,1,3.67,0,0,0,0,43.78,27.58,0,0,0,1220.47,1518.55,2064.9,2064.9,0,22.64,0,0,0,0,0,12.97,18.27,0,0,0,0,0,0,0,20.7,0,0,0,0
"22",161,132.86658,48.89715,0,0.748427959450677,0.689718280445617,FALSE,1,72.7,182.56,1112.36,952.55,859.41,1098.27,1328.98,416.36,564.12,2602.17,1743.41,2229.25,2988.62,2988.62,58.7,168.63,1167,1472.88,2435.73,1893.29,2876.1,173.31,256.06,1167.17,2470.95,1760.87,2140.84,3697.45,294.43,1335.08,1748.89,2431.91,2246.87,987.57,2384.5
"23",174,132.92224,1064.765,0,0.594280326189827,0.711147789526837,FALSE,1,240.64,721.64,1770.18,2677.33,3074.01,3062.71,2574.04,361.7,1167.93,1677.04,3689.82,3536.75,4032.86,4032.86,280.86,805.08,949.38,3284.3,1403.72,4145.93,2878.07,275.66,838.99,2111.07,4755.93,4648.06,4496.85,3178.16,302.21,994.95,2239.72,807.07,3346.8,4400.77,4501.24
"24",184,133.02829,582.851,0,0.142336597253172,0.654920545787388,FALSE,1,0,7.94,16.16,29.51,24.56,30.37,41.04,1109.34,1380,835.61,363.2,294.78,82.67,82.67,1606.84,1408.51,1353.05,24.34,59.88,0,20.94,1294.78,1644.34,1114.88,30.45,23.81,0,0,1163.39,1320.27,1193.83,4034.95,0,0,44.51
"25",185,133.02706,535.7475,0,0.0786596094896555,0.078984349288362,FALSE,1,0,0,29.15,0,0,0,0,432.18,557.23,469.8,124.64,185.29,331.1,331.1,1018.36,1407.71,1191.19,276.07,97.52,28.74,34.63,888.8,1103.51,499.82,0,44.33,120.17,62,805.88,1193.87,847.37,0,0,37.26,73.91
"26",191,133.4883,531.502,0,0.728031999173256,0.210420738727538,FALSE,1,0,0,0,0,0,0,0,0,0,0,2777.52,2099.15,1353.47,1353.47,0,0,0,0,0,24.38,21.44,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",194,134.0348,525.5375,0,0.00106924708664466,0.376361283957628,FALSE,1,11.33,16.85,0,0,75.6,0,0,1171.66,1073.77,460.05,490.92,550.18,371.87,371.87,1165.22,1023.32,521.34,176.2,147.27,0,49.25,1057.64,1120.89,723.16,368.17,164.08,50.48,203.38,1159.05,899.92,651.82,260.93,290.18,44.37,115.51
"28",195,134.03482,617.671,0,0.0254896504187773,0.635829927041954,FALSE,1,15.04,0,45.97,236.78,74.76,300.22,64.97,928.56,708.36,572.69,436.19,169.93,280.83,280.83,962.48,668.79,600.87,258.31,342.36,113.06,201.53,777.28,684.33,513.35,373.68,606.93,347.15,335.86,819,828.88,633.76,314.52,386.96,243.02,170.38
"29",199,134.05997,468.1175,0,0.282326049246884,0.0548508687175344,FALSE,1,0,0,229.33,360.58,0,253.54,0,688.2,739.42,714.52,463.45,219.93,0,0,744.88,532.21,750.24,99.6,539.69,408.5,591.82,661.81,752.49,412.88,642.62,221.73,216.89,347.75,712.83,595.69,898.34,279.31,272.42,365.8,619.34
"30",201,134.45528,460.1035,0,0.0210200480468483,0.321425033218084,FALSE,1,0,0,0,0,0,31.49,31.56,1099.21,1279.4,1098.88,519.01,596.61,400.28,400.28,1126.51,1131.89,1263.99,369.49,216.66,0,0,1108.98,1358.92,1149.02,417.35,175.85,0,0,1236.11,1226.53,1274.4,376.73,265.71,0,0
"31",212,134.98675,93.8136,0,0.00567744139699421,0.00352132655609452,FALSE,1,8.52,829.8,1003.74,5312.33,5828.65,5673.22,5152.28,6743.15,8065.55,10322,12880.91,14552.28,13352.81,13352.81,6383.67,9274.85,11350.26,14791.25,23210,23457.35,21928.92,6053.85,8550.54,10986.5,19280.05,19848.73,20538.89,25977.51,5813.53,9840.06,11219.42,15796.82,19305.59,19462.79,30027.29
"32",216,135.04396,626.6755,0,0.0984925432509429,0.0118196610510951,FALSE,1,56.87,219.24,495.33,744.77,714.05,737.54,1145.45,936.15,1398.96,1399.14,1218.44,902.97,1291.51,1291.51,979.95,1126.22,1480.92,1929.86,1937.96,2225.2,2638.04,862.01,1167.11,1321.19,1989.87,2158.16,2310.48,2403.57,857.82,1220.2,1521.28,2161.29,2139.69,2416.26,2798.37
"33",218,135.04397,583.1395,0,0.184228532606527,0.619986963460736,FALSE,1,29.97,68.67,250.98,364.4,271.82,261.81,277.72,2452,3136.26,1797.99,931.01,933.06,1052.73,1052.73,2403.49,2458.14,2084.93,218.29,267.42,294.75,319.44,2355.3,2854.51,2025.72,302.33,281.68,337.04,307.14,2454.66,2771.73,2388.11,7463.85,311.76,296.28,257.51
"34",219,135.04394,482.549,0,0.016050604317957,0.00656895794226188,FALSE,1,9.78,26.86,78.91,64.16,59.91,91.34,90.71,19.9,29.84,58.66,20.25,32.53,17.11,17.11,20.29,42.05,58.68,5181.18,10191.66,9690.37,12324.19,26.89,34.33,63.78,5330.62,9187.38,9329.38,10004.33,21.23,30.7,67.77,2443.3,7946.64,8257.85,9371.93
"35",221,135.04381,517.276,0,0.498069730667117,0.71722659653445,FALSE,1,101.26,323.56,972.06,411.18,310.04,442.73,552.64,879.65,1223.36,1106.41,179.59,271.36,564.15,564.15,1041.03,841,784.39,643.5,272.3,169.89,199.82,925.9,1122.39,1091.49,309.45,346.12,378.45,519.88,983.18,858.63,847.25,778.31,759.78,205.92,425.43
"36",222,135.04281,421.362,0,0.397993140362094,0.72974658894501,FALSE,1,146.48,297.64,1002.56,929.99,688.01,872.45,961.66,800.75,1038.83,882.09,454.19,405.76,896.06,896.06,980.98,812.92,820.91,629.72,964.8,645.4,857.23,1009.53,884.08,744.93,602.58,576.37,446.78,1005.41,1201.41,629.76,1105.95,804.05,916.61,796.16,689.72
"37",225,135.80185,959.43,0,0.00817442584621321,0.00436020474275998,FALSE,1,0,0,0,0,0,0,0,15.5,0,0,104.73,0,0,0,28.42,20.07,0,401.36,1034.38,988.96,1146.8,0,18.74,36.71,350.07,848.72,960.86,1219.57,0,0,0,675.97,844.02,1144.64,1448.07
"38",244,136.07682,960.4485,0,0.00910946495237731,0.00510679740479354,FALSE,1,0,6.8,0,0,0,0,0,48.61,39.76,0,0,0,107.62,107.62,37.49,29.21,0,807.7,1431.81,1298.29,1791.44,56.07,21.01,36.76,730.48,1381.43,1369.77,2046.29,48.7,18.42,27.2,862.57,1419.72,1384.34,2429.38
"39",247,136.86181,1110.505,0,0.616021094282358,0.745531358052305,FALSE,1,149.51,474.1,1264.34,1294.35,1695.68,749.88,2058.41,192.74,960.52,2149.23,2891.74,1728.81,3154.98,3154.98,130.33,583.32,1185.38,1930.66,1770.93,2123.83,1738.64,138.41,567.78,599.66,1370.03,2429.54,2232.42,3444.43,163.83,711.88,720.05,2250.65,2579.35,2986.18,2407.23
"40",255,136.90854,53.7486,0,0.591288788391705,0.295868505679947,FALSE,1,83.87,209.84,766.89,1259.97,1816.78,1300.9,1695.08,477.4,1461.34,1596.04,2598.24,3224.16,2456.62,2456.62,138.19,483.43,1304.64,1764.43,1936.6,2324.86,3849.03,132.7,721.71,1577.76,2140.21,2165.49,2448.81,2418.66,159.07,988.96,1500.7,1678.69,2285.71,2530.08,2731.27
"41",256,136.9732,1.62975,0,0.371230388823513,0.310690818725192,FALSE,1,0,0,772.66,782.74,891.89,1367.3,832.22,102.22,386.06,596.33,867.84,1476.9,900.26,900.26,64.17,0,0,687.77,586.06,854.3,0,105.68,272.72,544.32,868.14,858.77,813.95,945.25,116.32,226.08,518.89,570.53,0,0,1625.96
"42",258,137.02323,435.337,0,0.0810865186552586,0.244535732730035,FALSE,1,187.52,321.82,580.51,761.4,654.06,753.47,1031.96,2714.63,4268.51,3582.35,4006.69,4574.89,3352.24,3352.24,2783.05,3681,3793.15,4753.38,3535.68,3088.03,996.23,2606.66,4268.73,3536.19,4888.49,4543.11,4443.26,1705.27,2718.23,3939.56,3927,4905.72,4092.72,3719.25,1469.89
"43",259,137.02325,843.3665,1,0.00181796575477069,0.00303821150156134,FALSE,1,97.06,323.94,978.74,1419.12,1719.8,1658.78,1887.3,1015.39,1231.66,1587.49,2548.27,2727.9,2395.36,2395.36,935.73,1083.24,1615.24,2617.49,3195.76,3644.71,5408.51,956.34,1221.26,1687.5,2673.96,3463.24,4004.38,5419.74,979.5,1101.65,1795.25,2663.79,3206.96,3847.58,5295.79
