"index","mzmed","rtmed","matched","qSvsMB","qSvsNC","modelPredicted","predictVal","MB_0","MB_1","MB_2.5","MB_4.5","MB_6.5","MB_8.5","MB_26.5","NC_0","NC_1","NC_2.5","NC_4.5","NC_6.5","NC_8.5","NC_26.5","S1_0","S1_1","S1_2.5","S1_4.5","S1_6.5","S1_8.5","S1_26.5","S2_0","S2_1","S2_2.5","S2_4.5","S2_6.5","S2_8.5","S2_26.5","S3_0","S3_1","S3_2.5","S3_4.5","S3_6.5","S3_8.5","S3_26.5"
"490",4222,248.09287,643.371,0,0.590195729283014,0.603828309219321,FALSE,1,0,31.49,127.29,0,98.14,94.65,191.64,683.5,939.11,479.26,346.44,456.62,533.76,533.76,795.57,656.24,691.32,424.09,626.16,505.49,1113.7,806.54,719.75,513.64,473.54,383.75,868.36,590.17,738.99,700.77,779.39,530.82,497.07,543,579.68
"491",4232,248.50149,517.4135,0,0.398540283483908,0.715874960516154,FALSE,1,0,0,0,0,0,0,0,422.18,644.14,348.85,0,578.29,0,0,231.98,429.8,426.6,0,0,0,0,327.59,567.52,643.51,0,0,0,0,420.7,386.69,598.85,0,0,0,0
"492",4243,248.96039,1245.67,0,0.493275805735256,0.0932948314350933,FALSE,1,1656.16,6560.58,16406.07,25939.44,25749.61,30480.52,27175.17,2530.28,8536.91,17491.25,24818.66,24453.48,22784.39,22784.39,2517.19,7873.57,17947.46,24003.09,25980.54,28320.68,19720.8,2414.12,8219.24,18239.84,27428.47,54541.41,26152.75,40247.31,2305.63,9051.57,16713.16,29263.25,28948.02,26708.5,82387.39
"493",4244,248.96039,1226.16,0,0.0441845935393644,0.0143121182540101,FALSE,1,1697.42,5749.52,12086.73,18715.03,18490.47,18982.75,18831.4,1756.06,6305.72,13236.82,18043.39,17740.45,17323.15,17323.15,1861.39,5279.86,9957.72,18296.36,19804.21,18785.11,19935.48,1630.6,5916.84,10472.01,19015.98,18887.38,18431.48,15533.68,1825.57,5589.05,10019.92,19348.85,22207.51,20589.39,87027.33
"494",4256,249.03807,482.861,0,0.0159492823943016,0.00891328321050073,FALSE,1,422.88,986.38,2714.12,1615.25,1598.73,1762,1799.17,245.2,952.23,2947.53,659.61,1187.86,1250.55,1250.55,193.12,922.53,2138.89,3672.62,7407.76,7042.06,8672.13,228.03,827.49,2389.65,4041.43,7307.84,7651.44,8487.68,53.88,780.88,2544,2364.78,6916.41,7731.79,8772.46
"495",4263,249.06154,851.0385,0,0.0452645690409242,0.0862118449818764,FALSE,1,5.32,0,39.92,0,91.35,0,0,898.84,1138.78,681.29,1100.24,583.63,710.76,710.76,1288.19,896.14,1495.55,0,91.18,0,195.76,1194.48,1226.03,713.78,0,0,0,0,1312.45,940.3,1014.39,0,80.67,0,76.41
"496",4266,249.08041,660.587,0,0.103397866052927,0.670327198889368,FALSE,1,15.36,0,71.98,0,0,302.6,249.08,777.67,874.32,368.88,486.42,153,428.68,428.68,794.94,672.96,193.04,198.48,112.22,191.73,520.58,632.83,903.69,617.58,163.32,523.61,320.39,641.13,829.38,601.47,580.51,569.87,387.22,479.8,516.99
"497",4271,249.09804,420.989,0,0.602098591186263,0.00648408330144281,FALSE,1,3.28,9.02,23.06,879.28,1929.39,2010.64,772.23,5.35,21.95,33.37,0,0,0,0,1.66,16.03,0,1684.06,2453.15,2408.65,2586.74,3.85,8.14,0,1822.94,2375.07,2728.21,2276.99,1.71,12.32,23.65,1689.23,2300.18,2930.37,2278.4
"498",4276,249.11094,994.068,0,0.056769242181801,0.156153584259033,FALSE,1,12.15,54.67,301.97,66.88,63.06,0,0,721.69,863.08,768.76,1335.01,613.78,884.74,884.74,744.56,782.75,606.44,957.65,1264.49,1078.13,1279.95,716.64,917.7,440.71,1148.57,1803.42,1975.25,2548.74,743.82,1003,946.3,963.99,816.88,830.23,1250.79
"499",4289,249.95759,755.04,0,0.425441424550871,0.080355070810438,FALSE,1,169.62,377.33,1107.54,1378.43,1456.92,1430.16,1696.05,30.13,160.8,791.41,761.88,1089.52,1486.53,1486.53,43.51,135.85,574.45,1474.05,1723.69,1518.56,2248.69,25.56,170.28,773.26,1509.31,1613.15,1998.42,2160.55,40.31,174.52,630.29,1490.51,1741.5,1701.42,2759.19
"500",4309,250.07224,546.85,0,0.0615752755134647,0.0162643744526641,FALSE,1,78.37,36.22,622.88,579.33,615.14,690.37,841.3,1383.59,1537.14,1334.39,2966.44,3599.97,3005.91,3005.91,1487.09,1393.87,1721.59,793.59,930.78,1142.05,818.43,1320.24,1687.17,1551.67,926.33,925.74,590.18,875.3,1420.21,1426.81,1804.34,690.6,701.99,473.89,916.98
"501",4314,250.09442,79.56905,0,0.53255770741563,0.588663239659232,FALSE,1,11.17,106.44,0,4726.64,4214.23,4057.35,4293.88,7256.62,2349.48,3316.73,6386.9,6447.59,6988.59,6988.59,6795.83,2964.27,1282.24,3724.13,3590.56,4250.1,5131.7,7376.43,2563.51,1707.55,3335.3,4284.62,4846.77,4816.85,6212.94,2942.1,1910.05,4371.5,3783.99,2862.67,3819.56
"502",4330,250.96465,1267.66,0,0.693239733145083,0.198515800280098,FALSE,1,316.11,959.58,2000.44,2375.42,8890.77,5452.83,3061.91,236.45,912.99,2276.88,1785.43,2923.61,2898.84,2898.84,177.79,1033.36,1980.52,1710.75,8389.4,2467.19,9212.63,324.44,1032.31,2262.21,2057.92,2489.79,2341.22,3408.27,271.39,1056.61,2205.83,2517.8,3011.78,3172.51,4911.62
"503",4333,250.96463,1249.82,0,0.438806551327558,0.714409136835845,FALSE,1,366.85,1151.48,2194.74,1628.4,3383.83,2175.84,3376.59,333.55,1081.41,2499.25,1950.54,7258.83,3238.85,3238.85,270.48,1224.54,2070.44,2193.83,1193.74,2292.54,3368.99,337.76,991.26,1628.26,4321.57,5240.63,3225.78,3636.78,305.82,1143.77,2135.4,2602.79,10835.8,8888.84,5782.4
"504",4336,250.96479,1065.46,0,0.524877567779382,0.537870363307269,FALSE,1,153.79,508.95,986.91,1565.77,1678.9,1982.65,1237.97,145.34,626.91,1844.85,1411.27,3052.7,1992.17,1992.17,116.04,549.06,956.76,1655.88,1274.7,1394.58,1648.54,203.69,461.19,814.31,1150.86,1395.18,1245.35,1939.54,159.97,535.82,985.84,1577.38,2107.41,1385.75,1536.07
"505",4362,251.12658,1040.23,0,0.562899524156915,0.261422268618225,FALSE,1,120.54,458.92,1012.55,1525.36,1590.94,1843.24,1783.87,392.73,556.81,1134.09,1857.76,2026.84,2001.43,2001.43,319.64,628.79,1000.03,2002.15,2661.81,2394.09,2676.15,297.68,670.13,1182.24,2372.2,2620.59,2633.34,2549.91,341.61,659.82,1118.46,1964.81,2355.24,2194.18,2681.81
"506",4365,251.16526,1177.205,0,0.0280628986423189,0.0350337406640278,FALSE,1,0,0,97.8,367.4,241.15,371.62,137.53,711.21,1136.52,1075.36,837.87,1356.59,1224.34,1224.34,969.79,930.15,1029.14,365.03,367.03,244.52,943.18,766.49,1265.82,748.7,234.56,684.09,295.26,295.4,886.03,1223.26,669.25,1279.25,708.08,507.97,0
"507",4373,251.93091,152.664,0,0.671887774480207,0.0287680140820195,FALSE,1,151.23,33.62,18.39,511.8,475.87,949.91,1449.98,361.97,1069.69,239.05,1041.88,515.29,494.97,494.97,482.06,827.57,268.74,1207.66,2019.85,2171.82,2380.49,380.67,1179.94,244.75,1677.18,1119.24,1382.48,3443.29,420.55,985.97,349.87,1426.93,2045.86,2579.23,3146.82
"508",4380,252.0337,356.899,0,0.0264043057610569,0.00960121624240678,FALSE,1,0,0,0,19.45,0,0,32.17,22.87,0,0,0,0,0,0,2.8,0,0,3258.77,3359.34,5773.69,2606.44,20.91,0,0,3335.87,3706.47,5783.83,3702.5,19.53,0,0,1319.03,3669.23,5062.68,4554.87
"509",4385,252.05159,374.494,0,0.031789269159252,0.701715514076046,FALSE,1,0,0,0,0,0,0,0,627.83,604.8,204.45,0,0,0,0,691.55,649.74,271.88,144.34,0,0,0,650.54,666.91,170.07,0,0,0,0,650.47,563.09,247.74,0,144.75,0,425.17
"510",4389,252.08555,571.52,0,0.113090649203505,0.0260689204279043,FALSE,1,0,0,0,0,0,0,0,748.19,830.03,880.63,1093.93,913.15,905.67,905.67,840.12,833.24,1266.18,0,0,0,0,796.07,913.91,718.84,0,0,0,0,778.27,938.62,775.82,0,0,0,0
"511",4390,252.08547,548.767,0,0.0310953664298324,0.577344096716951,FALSE,1,0,0,0,0,0,0,0,986.65,1012.22,870.92,228.89,285.4,274.54,274.54,966.29,970.42,503,0,0,0,0,945.9,1091.61,671.14,0,0,0,66.92,932.49,974.56,1027.55,0,0,0,0
"512",4397,252.15105,1270.63,0,0.706159954616945,0.74527248305209,FALSE,1,82.7,344.95,834.26,1230.75,664.92,952.92,703.72,0,190.2,657.34,1252.1,788.95,1384.3,1384.3,100.4,290.53,822.34,1298.79,1783.15,1248.23,1288.85,62.42,376.6,468.15,933.4,1143.01,919.35,1414.12,153.72,193.35,320.48,1113.39,1508.26,1396.8,1821.69
"513",4406,252.90349,1096.43,0,0.304824424052863,0.0855759832324692,FALSE,1,339.62,1040.03,2287.01,3015.07,3215.6,3577.41,3276.38,153.37,760.82,1752.58,1787.68,2550.03,2728.35,2728.35,289.67,956.07,2139.91,3173.27,2869.76,2865.74,9199.89,255.26,776.95,1903.96,2683.69,3050.01,2738.42,3008.78,213.08,560.64,1879.7,2602.88,2694.93,2573.49,2673.89
"514",4410,252.91641,1364.565,0,0.40969675753756,0.107473235701938,FALSE,1,624.28,1782.1,1946.44,2625.07,2528.32,3303.63,3886.85,196.24,782.39,1583.04,1534.91,717.02,608.54,608.54,308.2,1034.01,3295.66,4271.57,2494.36,3701.05,1494.81,246.83,800.1,1096.26,2726.61,2856.74,3272.08,3164.76,203.32,777.09,1216.22,2711.88,2598.52,2002.6,1152.92
"515",4422,253.02907,584.7115,0,0.0499042487461876,0.128787603008433,FALSE,1,42.79,26.13,216.45,288.28,96.86,115.56,243.43,820.78,802.83,528.44,0,227.73,0,0,1005.44,681.24,540.99,370.87,0,233.8,362.28,824.46,837.45,621.47,558.84,467.07,418.14,650.85,829.56,724.28,542.73,655.83,700.04,128.18,707.06
"516",4425,253.05075,1172.84,0,0.138613266751391,0.0442625848626164,FALSE,1,27.16,177.55,184.7,775.47,302.77,344.79,279.87,15.34,159.75,275.97,519.79,598.01,590.87,590.87,28.48,84.72,236.61,1530.78,1374.58,1277.56,1868.86,51.73,133.84,137.16,1814.48,1644.93,2008.56,2045.92,60.3,78.79,285.26,1202.66,1706,1103.89,1645.59
"517",4430,253.07192,551.82,0,0.0549672116153917,0.573489699455016,FALSE,1,2.14,11.21,11.32,0,21.2,26.03,31.52,3003.8,3652.12,2412.86,848.42,1288.83,983.15,983.15,2847.55,2967.18,2722.51,220.47,70.76,72.01,39.28,2718.39,3688.79,2536.84,68.41,62.68,18.71,56.46,2806.1,3303.02,2970.75,264.07,0,82.63,49.32
"518",4431,253.07189,481.396,0,0.0554112965414599,0.0200277758523107,FALSE,1,7.26,0,0,726.73,1211.86,1720.21,1582.94,623.71,612.37,262.18,236.34,0,0,0,631.23,557.2,338.79,321.08,380.26,972.6,1071.59,587.82,842.94,247.88,267.54,659.91,566.53,1268.36,639.33,578.02,358.74,0,420.72,460.36,1081.83
"519",4448,253.18098,1151.39,0,0.0156296860688478,0.271407109023739,FALSE,1,0,32.61,0,0,0,0,0,695.7,558.84,1435.04,400.2,196.57,995.19,995.19,1103.4,701.71,776.9,0,0,0,0,826.94,774.17,454.23,0,0,0,0,952.45,801.5,465.56,0,0,0,0
"520",4449,253.18097,1106.36,0,0.00809914653389045,0.00305573394814803,FALSE,1,0,0,0,0,0,167.36,143.06,6.68,0,33.26,0,0,39.92,39.92,0,31.59,62.29,53.95,1765.13,1724.16,3978.75,9.17,42.34,0,250.25,1042.79,2092.1,3429.45,19.59,14.73,0,144.25,524.2,1292.32,2744.37
"521",4450,253.81935,1379.175,0,0.325976634064364,0.345310034901845,FALSE,1,112.39,0,0,0,0,0,0,31.09,0,600.32,0,685.95,0,0,115.97,0,773.7,0,0,0,0,0,348.74,0,0,0,0,1266.01,0,286.33,0,0,0,822.25,480.09
"522",4458,253.95205,402.162,0,0.00910946495237731,0.00230170259750568,FALSE,1,61.9,57.41,257.87,184.71,293.17,310.41,293.06,31.92,52.91,133.23,67.02,0,0,0,32.4,109.72,67.47,735.02,1747.2,1733.11,2814.16,21.86,98.58,224.35,621.56,1357.43,1759.48,2087.68,25.12,121.79,87.4,805.3,1668.81,1587.55,2409.6
"523",4461,253.9742,628.633,0,0.54811522849006,0.00755324389554245,FALSE,1,19.85,58.84,186.09,137.84,258.01,200.8,348.04,13.57,38.65,169.16,1156.12,1211.71,1375.61,1375.61,26.18,62.22,81.1,189.66,188,269.39,54.58,17.22,82.69,110.26,330.28,125.18,0,268.35,32,125.9,57.9,0,0,0,167.63
"524",4463,254.06715,359.343,0,0.019068703136505,0.568843031069356,FALSE,1,2.33,0,0,290.16,298.55,440.69,253.67,1789.15,2446.12,2167.05,2876.67,3224.51,2693.04,2693.04,2010.88,2171.66,2545.79,2369.65,3345.87,2848.34,3052.78,1820.54,2305.88,2066.91,2789.02,2973.92,3346.56,3149.88,1866.89,2126.53,2415.85,3134.99,3305.1,3286.4,2970.21
"525",4466,254.06489,396.48,0,0.0370353369771515,0.490461832774561,FALSE,1,7.47,0,86.38,0,0,127.79,0,827.74,793.91,623.77,399.18,254.01,253.63,253.63,793.86,737.02,226.01,0,0,97.87,0,806.39,829.29,400.71,0,0,94.49,169.78,723.5,620.08,794.31,0,0,0,140.99
"526",4483,254.99457,928.9905,0,0.0232630603564969,0.0103615041544371,FALSE,1,0,36.78,44.33,0,62.48,45.08,0,343.2,500.09,187.04,1547.26,1480.1,2111.44,2111.44,353.5,221.15,126.04,0,163.78,0,0,286.41,253.95,0,0,65.69,0,0,362.35,296.73,364.39,150.21,59.99,0,101.94
"527",4489,255.06641,1143.01,0,0.0340838325349334,0.0123450200560532,FALSE,1,11.67,193.34,176.59,276.35,186.78,93.48,125.26,13.36,56.28,65.56,173.47,276.6,129.37,129.37,23.95,49.92,79.36,3403.6,3723.41,3121.49,3806.7,19.68,17.42,63.04,3189.11,3842.86,4488.76,4062.44,62.16,120.12,309.24,2511.39,3562.57,2543.49,4169.66
"528",4495,255.08771,546.157,0,0.0838211018117874,0.0168198261372208,FALSE,1,0,0,0,294.09,199.75,165.27,96.62,290.37,234.31,74.52,0,267.94,0,0,329.11,142.57,232.92,444.8,672.15,0,694.7,170.88,251.82,191.43,557.97,135.64,618.56,663.66,308.89,196.73,223.95,258.44,439.32,573.33,1180.88
"529",4499,255.12173,1035.49,0,0.755740336983578,0.738310369614486,FALSE,1,28.47,127.05,197.03,947.22,1095.55,1158.39,875.66,46.02,127.92,247.96,978.47,1028.61,1294.08,1294.08,68.68,121.95,308.82,666.31,1192.51,1329.38,1464.38,50.49,160.27,49.72,786.55,1143.95,1168.55,1417.09,63.13,170.94,370.38,919.51,968.63,1277.52,1084.15
"530",4501,255.1239,803.7375,0,0.630567241368183,0.164441457183408,FALSE,1,0,22.91,671.82,0,76.89,278.61,262.92,293.41,394.18,1272.74,563.73,657.76,480.36,480.36,265.05,415.09,1331.54,470.74,540.16,470.59,1394.44,281.14,506.63,1021.42,274.87,198.64,1013.29,2595.83,351.42,419.24,945.51,282.55,888.24,730.95,1304.28
"531",4502,255.12371,886.374,0,0.738955709534308,0.384489808398613,FALSE,1,11.81,61.34,221.31,150.15,156.17,460.2,218.65,146.21,0,319.45,291.63,491.47,434.19,434.19,114.29,0,162.05,771,350.09,563.04,628.99,87.35,66.05,0,319.99,629.05,259.68,174.65,39.15,127.26,229.17,458.37,528.75,1236.39,550.06
"532",4517,255.97795,266.458,0,0.792752417544546,0.014720635946708,FALSE,1,0,0,0,1465.6,2801.3,2501.38,1092.67,2.98,0,0,0,0,47.54,47.54,5.3,0,0,472.38,2250.02,1790.82,195.85,5.75,0,0,815.04,1308.99,1621.32,408.78,2.73,0,0,705.79,824.57,966.79,564.39
"533",4520,256.02526,831.1845,0,0.0602330643024318,0.0962621311934378,FALSE,1,0,0,0,0,0,0,0,19.55,40.12,137.35,1478.78,2111.63,1154.78,1154.78,52.31,24,94.18,167.8,171.56,177,85.83,56.47,112.24,84.9,0,73.89,104.35,91.89,19.6,55.37,109.62,66.72,227.25,191.53,218.29
"534",4524,256.06515,683.6115,0,0.0276786571046826,0.0109448442890823,FALSE,1,0,0,95.42,0,80.14,98.39,43.61,45.83,43.58,147.13,135.29,142.78,173.27,173.27,86.53,17.88,95.08,1264.49,1342.34,1388.68,1349.13,82.44,34.08,171.17,1344.55,1015.96,1374.51,1556.21,73.33,64.85,90.07,862.47,1410.99,1365.18,1518.55
"535",4535,256.1918,1217.175,0,0.562220523724828,0.485755597342184,FALSE,1,204.41,528.9,665.18,1873.37,1968.16,2224.05,1684.76,125.69,436.65,808.24,1786.82,1823.08,1782.98,1782.98,161.41,640.21,1370.24,1481.18,1396.86,2186.53,1718.78,159.58,484.72,703.91,1476,1702.3,1812.36,2097.25,171.76,526.67,597.11,1700.99,1271.39,1570.78,2440.26
"536",4543,256.84645,1133.01,0,0.674235480606804,0.325003608973467,FALSE,1,414.53,1353.4,3179.46,4310.84,3813.97,3882.49,6030.84,206.08,561.25,1310.52,1369.79,1792.38,1678.55,1678.55,376.5,1210.54,2932.41,2995.46,3088.44,3275.15,3327.99,287.09,949.74,2339.3,3003.13,3119.04,2811.95,2903.07,199.88,794.76,1686.52,2900.07,2497.79,2517.8,2588.24
"537",4544,256.84643,1067.86,0,0.527654889221163,0.137356892582307,FALSE,1,744.74,2341.3,4187.32,7575.8,7332.93,7285.23,9923.77,364.75,1069.51,2059.84,1325.24,2540.72,2883.87,2883.87,635.07,1934.71,3577.08,6783.97,6067.4,6003.42,5835.62,531.76,1695.09,3251.85,6559.45,5676.93,5735.49,4867.6,463.12,1466.35,2406.51,4492.12,4257.65,4448.38,4466.17
"538",4554,256.95513,10.69224,0,0.742001291278399,0.622207314427158,FALSE,1,201.15,597.32,1104.5,2110.22,1975.86,1982.74,3067.19,172.34,702.1,1432.25,2663.28,2680.44,2396.7,2396.7,231.23,514.4,1379.95,2062.14,1859.5,1909.66,1877.47,175.37,538.54,1157.76,2081.25,2190.79,1927.67,1917.08,186.32,678.04,1464.3,2071.11,2155.36,2231.3,2394.76
"539",4566,257.05619,828.967,0,0.136716998593608,0.718630629656614,FALSE,1,8.05,138.19,181.84,371.17,907.61,520.22,430.3,1207.32,1102.29,900.84,435.86,1183.77,886.62,886.62,1068.65,695.89,1246.51,1131.42,1031.65,785.85,689.95,902.91,1231.48,1179.37,725.38,1073.96,999.33,1088.28,1112.4,1341.86,797.27,791.61,849.46,1029.49,710.23
"540",4567,257.06813,516.573,0,0.00724627396676697,0.0109571122714531,FALSE,1,4.54,0,21.86,0,80.24,0,120.93,901.69,1222.04,1047.44,394.23,726.85,659.43,659.43,1169.64,936.83,759.14,1406.64,1964.17,1629.86,2319.32,981.12,1084.84,1078.6,1598.97,1868.28,1960.46,2119.41,958.48,876.11,1428.72,1323.22,1635.95,2191.96,2077.98
"541",4603,257.84672,1103.4,0,0.165193556320208,0.0805791182719984,FALSE,1,299.41,981.99,1336.23,3154.13,3497.07,3457.67,1250.81,84.98,313.99,685.62,868.45,809.34,1240.04,1240.04,286.04,934.55,2267.74,881.72,3181.15,2649.37,2186,208.37,619.47,1136.44,2232.9,2143.91,2231.79,1784.33,119.26,485.02,1162.6,1549.1,1719.33,1701.27,1249.03
"542",4605,257.85674,1366.09,0,0.619936948036664,0.684407896711583,FALSE,1,181.17,562.92,2261.12,1909.84,3143.59,3539.15,1037.37,99.34,411.33,2521.24,3514.18,2810.63,2802.56,2802.56,85.8,357.94,3442.92,3401.18,2957.21,945.34,1153.03,345.61,211.4,1017.92,4783.12,3493.88,3954.82,3324.12,353.68,431.26,2344.19,703.44,1023.26,1549.46,4789.11
"543",4631,258.02342,936.726,0,0.107862264952903,0.0697153450578996,FALSE,1,0,0,0,1161.53,1807.41,1363.66,1674.73,115.13,0,0,0,0,0,0,0,0,0,251.79,0,0,0,0,0,0,0,0,349.51,0,0,0,0,199.98,0,402.84,831.03
"544",4647,258.11789,311.027,0,0.0235232740575777,0.0104791311305532,FALSE,1,0,0,0,842.17,1124.82,1498.94,817.47,0,10.82,0,789.61,910.45,849.25,849.25,10.55,9.14,0,648.51,801.39,1232.49,2894.04,7.96,0,0,837.06,840.52,697,978.82,5.01,0,0,549.62,944.08,1002.67,3575.58
"545",4667,258.91737,67.9646,0,0.311003365109259,0.112038887929241,FALSE,1,109.22,1075.36,2734.26,2966.21,4314.86,2844.35,3043.91,3223.47,4819.37,2960.84,1143.74,1704.86,1344.5,1344.5,4104.15,3904.01,3573.85,5937.64,3576.88,3663.2,3793.44,3392.83,4938.97,4017.64,3718.76,4047.81,3205.89,2529.11,3563.35,3886.4,2702.37,4102.26,4378.5,4946.31,3446.05
"546",4672,258.99186,722.488,0,0.0114846131350168,0.0325457046199772,FALSE,1,0,0,0,14.03,25.44,24.06,16.81,3595.34,2099.6,4463.88,4197.31,2088.38,4282,4282,2825.66,4691.84,4969.01,1574.01,12.43,15.42,0,6253.53,2326.98,2460.6,652.98,0,0,0,4304.76,4822.1,5002.18,2604.35,24.37,29.04,21.39
"547",4674,258.99202,749.2875,0,0.313063180319778,0.703400024450478,FALSE,1,0,0,51.63,162.25,35.88,0,180.94,1504.17,1496.35,475.75,451.12,412.13,358.57,358.57,1301,651.64,790.54,1215.73,0,0,48.45,1069.76,1734.71,657.07,160.59,96.49,123.14,86.99,1462.86,977.44,666.39,2698.58,36.7,50.35,28.63
"548",4675,258.99212,529.921,0,0.0569027207775522,0.0173838029362615,FALSE,1,0,0,76.28,0,0,0,0,0,0,33.14,0,0,0,0,8.43,15.21,0,1272.73,1539.44,705.67,1749.51,0,24.15,0,871.22,1364.94,1028.02,1124.94,0,0,64.99,68.31,775.12,902.66,731.24
"549",4679,259.02207,471.645,0,0.267337138625701,0.675106046450772,FALSE,1,0,52.13,96.09,0,0,170.54,158.52,406.55,823.68,541.92,0,0,293.84,293.84,470.83,431.26,483.12,450.57,0,342.17,208.8,244.52,448.86,501.41,0,238.13,0,123.97,430.34,573.33,564.85,182.87,232.81,234.34,265.19
"550",4697,259.10905,794.84,0,0.00335978363830188,4.22701037709036e-06,FALSE,1,0,15.33,0,649.85,1176.24,1093.82,2019.94,2.52,0,24.26,95.25,127.03,176.38,176.38,5.95,5.36,12.64,604.42,864.84,1320.41,6158.9,12.88,6.12,14.06,623.14,899.61,1154.51,4076.22,0,18.67,30.39,667.29,779.09,1060.92,3492.21
"551",4700,259.11881,718.8695,0,0.492075401502594,0.159558344216308,FALSE,1,8.6,85.81,208.35,237.42,182.46,133.64,148.87,2171.26,1715.96,1555.15,1178.05,1998.89,1283.63,1283.63,1600.89,1595.68,1589.74,1467.77,1805.63,1364.21,2060.26,1583.99,2931.29,1927.6,1758.85,2019.89,1519.86,3085.47,1337.62,1911.42,2254,2744.7,1927.33,1997.52,2854.56
"552",4701,259.11893,815.792,0,0.637435994150523,0.254245365225752,FALSE,1,31.75,127.83,230.66,420.49,1765.07,1483.01,1475.73,1487.96,2399.35,1445.39,1467.23,1476.3,1741.47,1741.47,1508.93,1500.38,1665.34,2019.42,2014.89,2067.76,1799.16,1508.82,1681.8,1432.5,2239.25,2160.87,1990.11,1812.65,1537.19,1476.69,1450.82,2114.45,1530.56,2197.17,3415.17
"553",4724,259.19171,988.107,0,0.00302097646526517,0.000811194122707323,FALSE,1,4.88,23.43,67.15,284.09,87.38,145.02,215.93,146.81,229.46,42.36,119,0,85.12,85.12,202.89,255.66,48.2,746.02,958.5,1804.95,2548.99,155.79,198.27,37.86,614.39,1269.36,1245.73,2838.04,204.96,242.72,97.54,1163.65,1133.24,1409.8,3733.43
"554",4733,259.85616,48.9313,0,0.0155275416209833,0.539498386078031,FALSE,1,255.5,706.38,1897.27,4388.65,5173.18,5593.49,781.14,73.74,260.73,1259.2,2014.14,580.16,721.54,721.54,251.16,1069.84,964.47,2830.74,1254.69,1070.78,1154.9,96.83,1330.09,1607.64,2282.76,2026.37,1104.88,2373.86,95.79,1097.39,1364.59,942.3,4404.75,3376.8,613.97
"555",4743,259.94639,134.565,0,0.555869795927524,0.25993936284487,FALSE,1,192.39,599.88,1471.67,1137.96,1144.5,1081.53,818.18,272.84,962.22,2389.05,3091.71,2661.08,1221.48,1221.48,300.52,2125.66,2923.5,1301.81,848.86,806.91,837.56,288.85,2521.03,2222.07,1097.25,895.02,721.01,889.25,4103.37,1756.8,3226.56,1335.29,874.48,1294.71,963.07
"556",4745,259.96275,309.654,0,0.16137116876419,0.0304729200229256,FALSE,1,3.22,0,0,1090.75,1308.72,1573.99,384.81,17.97,7.82,12.55,4735.61,5351.67,5395.04,5395.04,38,26.57,54.84,1145.63,731.21,1581.11,1408.32,21.43,33.17,59.15,759.31,1310.46,940.94,1909.15,16.42,15.74,26.51,1005.63,617.54,995.81,1392.25
"557",4783,260.15061,411.57,0,0.163570047216204,0.248511059751033,FALSE,1,0,17.09,25.91,0,0,52.26,0,1256.83,1489.95,1614.44,1263.76,922.8,1306.62,1306.62,1291.65,1441.66,1642.4,1400.16,1297.17,1382.01,1585.25,1259.27,1593.61,1323.63,1597.53,1958.86,2136.82,2447.98,1315.88,1474.84,1730.96,1278.76,1222.18,1305.88,1492.17
"558",4790,260.91634,1204.295,0,0.579970879172948,0.701715514076046,FALSE,1,394.1,1087.02,2534.57,7268.62,3566.4,3859.42,9428.8,207.49,651.4,1414.19,2748.26,2399.5,2538.41,2538.41,252.54,1108.34,2514.24,6787.38,2140.83,2314.42,2077.96,305.41,751.24,1753.15,2555.9,7468.65,2032.78,3077.74,300.76,895.63,2088.89,1914.02,2194.54,2068.11,2257.24
"559",4807,261.00771,680.564,0,0.127366035023178,0.0397100076546626,FALSE,1,0,0,0,0,0,0,0,25.08,0,0,39.19,0,58.71,58.71,21.04,14.28,64.6,210.76,587.86,176.75,0,9.64,0,30.12,492.56,653.1,422.54,184.07,8.07,0,33.08,0,1697.98,2076,562.07
"560",4817,261.07294,114.3225,0,0.39778852475031,0.693678687358907,FALSE,1,0,768.68,846.79,3369.96,4128.19,6395,1283.1,970.93,2286.91,4599.33,5536.86,5218.28,4604.64,4604.64,1007.03,2023.13,2452.28,2309.6,4018.32,7009.5,6672.82,928.88,2181.8,2326.57,3346.85,4771.19,5371.49,1542.05,1056.55,2163.59,2504.47,2550,3522.6,5917.88,5350.04
"561",4819,261.07473,869.051,0,0.0839031935285598,0.0177079280739039,FALSE,1,0,43.18,83.27,188.67,159.7,202.24,227.72,8.18,33.82,132.08,132.93,44.62,58.07,58.07,5.88,17.7,0,160.85,1354.05,1483.38,1913.07,9.82,0,59.4,106.25,929.37,1675.8,2050.45,4.73,16.44,0,26.74,1272.06,1372.06,1599.41
"562",4829,261.10785,382.877,0,0.0835485121190957,0.000435047324672089,FALSE,1,0,44.88,67.26,498.87,12356.05,14235.61,315.63,2.41,29.2,86.79,1026.14,554.19,1230.21,1230.21,5.16,24.32,83.41,451.92,326.4,10440.02,13488.85,4.21,28.34,93.75,428.52,383.91,336.39,15212.59,3.03,26.55,130.35,355.96,11134.69,360.93,16888.6
"563",4830,261.11108,1042.61,0,0.457538113818663,0.510210762871378,FALSE,1,0,0,0,122.89,238.97,0,264.29,836.12,1131.37,365.76,377.08,430.54,504.14,504.14,899.84,894.56,459.4,360.42,785.48,840.51,595.95,742.38,860.78,574.54,665.22,621.82,767.62,651.47,875.23,872.72,730.32,831.69,535.12,718.04,361.12
