"index","mzmed","rtmed","matched","qSvsMB","qSvsNC","swipesRight","swipesTotal","MB_0","MB_1","MB_2.5","MB_4.5","MB_6.5","MB_8.5","MB_26.5","NC_0","NC_1","NC_2.5","NC_4.5","NC_6.5","NC_8.5","NC_26.5","S1_0","S1_1","S1_2.5","S1_4.5","S1_6.5","S1_8.5","S1_26.5","S2_0","S2_1","S2_2.5","S2_4.5","S2_6.5","S2_8.5","S2_26.5","S3_0","S3_1","S3_2.5","S3_4.5","S3_6.5","S3_8.5","S3_26.5"
44,122.09652,252.306,0,0.32399,0.0374,0,0,69.11,139.44,283.2,477.31,705.09,520.72,542.83,50.4,140.42,280.24,184.84,345.28,238.57,238.57,50.08,139.44,324.5,2000.53,3163.8,1471.12,733.05,32.59,117.82,320.01,2502.39,4664.75,3415.84,908.65,41.44,132.43,297.35,3325.31,4700.44,3803.81,1101.51
53,122.87395,1138.86,0,0.099,0.50928,0,0,0,31.84,0,0,0,0,0,0,0,45.55,1519.79,1879.63,2136.46,2136.46,0,0,0,1883.56,1986.76,1276.52,1562.23,0,0,0,1243.96,0,1377.09,2044.33,0,25.41,58.27,1249.85,1739.28,1781.26,2253.84
117,124.25451,535.669,0,0.69607,0.74111,0,0,0,0,0,0,0,0,0,899.77,425.06,0,0,0,0,0,801.65,229.05,0,0,185.43,0,0,918.41,465.64,0,0,0,0,0,893.86,425.46,114.81,0,0,0,0
126,124.87873,536.2145,0,0.06042,0.66225,0,0,0,0,0,0,0,0,0,1950.25,2026.26,1312.19,519.14,565.81,356.14,356.14,1865.26,2019.92,1285.57,93.22,81.2,0,0,2080.88,2133.06,1460.06,0,0,0,130.64,2052.93,242.72,1566.99,0,0,0,0
127,124.87898,421.734,0,0.27988,0.69272,0,0,0,0,0,0,0,0,0,1290.17,606.79,223.14,0,0,0,0,1075.99,473.1,0,577.65,0,0,0,986.53,468.64,203,0,0,0,0,1099.15,552.41,323.34,0,0,0,0
186,127.03902,294.141,0,0.04977,0.01077,0,0,118.36,299.86,975.95,775.66,671.46,889.95,977.76,1124.36,1083.14,1206.02,1494.01,1344.04,1636.89,1636.89,1075.28,1038.49,1295.76,2903.02,7663.49,9226.55,12285.71,1078.43,1120.99,1304.3,2742.06,7394.16,9926.81,12348.89,1128.73,1016.2,1415.72,2852.31,7279.75,9916.42,12987.35
189,127.03903,193.165,0,0,0,0,0,159.51,429.56,1314.66,1315.68,1033.87,888.08,912.5,162.11,365.42,953.41,989.18,948.4,1035.5,1035.5,120.8,325.17,985.37,1092.73,2464.57,4334.72,17262.72,137.24,371.59,938.51,1221.15,2184.12,3143.08,17137.88,128.22,408.52,1087.77,967.85,1530.49,2283.34,15766.68
212,128.01938,61.5973,0,0.28012,0.1748,0,0,330.96,1706.55,2121.32,6778.12,9114.82,8990.67,8799.71,11363.52,13826,12884.05,19790.54,20664.82,19607.56,19607.56,12756.31,13576.04,16224.24,14053.31,15637.61,16701.7,19300.63,11983.49,14679.62,13795.89,13906.27,15825.54,17931.81,18086.77,11752.72,12007.25,14626.48,15969.52,14540.44,17387.71,17593.93
286,128.9872,125.563,0,0.28001,0.64708,0,0,1490.28,4061.6,9450.1,10152.72,7934.61,9472.58,10575.79,10848.13,9923.91,7752.29,2219.13,1316.74,9380.82,9380.82,10983.22,7949.84,9097.45,9809.79,9051.42,8416.51,8924.3,10926.28,10007.47,7905.86,8640.79,8808.66,8227.78,7734.92,10531.48,10194.99,9335.65,122.31,6944.18,105.43,6917.15
320,130.00797,1366.18,0,0.60115,0.6577,0,0,677.16,2248.69,3245.16,6005.48,4964.39,6030.34,11654.71,456.63,2248.36,3303.2,5405.15,4608.57,4594.71,4594.71,537.94,2282.13,3603.39,9122.65,6432.34,5596.17,6766.51,514.07,2004.39,3896.87,7229.87,5163.26,5720.35,4818.3,486.63,1592.88,4067.36,6592.34,5715.42,5400.62,6284.09
324,130.00781,102.853,0,0.36229,0.08963,0,0,50.29,1328.65,865.55,5161.2,7817.78,10479.15,179.14,2.68,3273.45,2122.43,30460.15,27679.7,28701.54,28701.54,279.99,1498.72,5047.1,11984.65,17058.4,15631.77,273.09,259.77,3514.07,2420.32,13699.31,17175.31,21323.7,411.69,241,105.19,182.67,8643.59,14005.35,21192.79,145.48
362,130.5839,65.3355,0,0.08646,0.67006,0,0,0,125.41,426.39,462.15,959.41,713.92,1803.14,0,253.84,781.63,987.65,937.33,963.71,963.71,0,156.33,112.24,237.89,932.39,567.4,1106.17,0,162.46,434,741.3,554.85,429.14,722.6,33.2,142.16,693.35,216.16,620.51,1607.08,198.56
450,131.11789,193.242,0,0.41425,0.02954,0,0,359.9,876.12,2521.68,3851.4,3363.66,4271.84,8142.07,270.42,681.91,1771.17,1512.57,1443.07,1586.64,1586.64,305.08,737.13,1940.24,2063.68,2691.21,2536.95,3415.45,279.29,772.57,1864.86,2459.17,1959.17,1655.52,4261,296.6,614.89,2061.03,2170.76,2685.45,3079.69,6903.6
457,131.53346,1083.58,0,0.48686,0.22035,0,0,1540.27,4405.63,8757.79,14138.36,12127.23,11803.92,23637.7,664.33,1963.06,4472.06,4927.02,5290.2,5617.39,5617.39,633.46,3680.85,6891.61,12138.2,11157.07,11092.7,10774.36,1044.53,3060.42,5958.19,10546.01,9136.21,9574.88,10717.26,900.46,3212.48,6352.7,8926.44,8868.7,8294.23,8561.74
501,132.14485,445.6825,0,0.42454,0.68239,0,0,260.67,894.21,2034.72,2959.29,2809.27,2633.82,4421.95,206.61,868.85,1650.88,2810.29,4092.83,3006.42,3006.42,247.58,735.65,1706.82,2801.26,3026.79,3978.24,2746.36,241.98,791.59,2047.94,2491.45,3968.91,4471.66,2936.36,302.29,653.72,1512.07,3532.84,3211.91,3666.4,2734.24
527,133.10116,859.556,0,0.00999,0.00114,0,0,192.39,590.33,1028.73,1520.5,1364.03,1435.13,1743.27,1075.79,1219.06,1693.8,1632.52,1622.13,1895.46,1895.46,807.06,1176.64,1820.12,4344.27,5504.68,5945.77,6407.16,773.15,1233.38,1741,4233.56,5406.61,5913.15,6634.08,705.34,1135.66,1548.19,3833.88,4880.88,6057.04,7178.39
529,133.10115,696.781,0,0.17153,0.25135,0,0,190.76,300.57,1080.85,1039.63,1255.48,1191.96,1901.19,3151.16,3731.13,3889.35,3081.59,2910.46,2831.26,2831.26,3779.48,4206.85,4931.37,3438.32,2125.87,1465.32,1567.49,2784.51,3388,4568.76,2757.05,2339.97,1461.82,1051.89,2998.71,3624.91,4344.49,2162.22,1433.1,1615.99,646.39
556,134.06405,80.5649,0,0.73323,0.07117,0,0,119.81,2199.02,1724.7,2491.15,2614.39,2439.56,3553.72,3290.91,3064.03,2769.98,5175.64,4899.28,4529.48,4529.48,679.72,2463.34,2879.97,3061.69,2856.35,2110.1,5335.39,3559.37,3576,2404.16,1852.64,2425.87,2171.4,4336.85,3546.26,2665,1514.51,2528.14,2084.88,2007.23,3715.43
558,134.07149,341.6925,0,0.78822,0.00577,0,0,161.81,368.38,1132.83,1753.15,1636.94,1941.14,1527.63,90.91,253.39,565.2,138.68,232.29,490.71,490.71,122.7,280.41,752.83,1728.12,1719.34,2167,2736.57,101.85,287.27,774.12,1417.97,2178.35,1903.7,1760.86,113.03,232.19,689.96,1329.06,1518.28,1874.64,2008.75
560,134.08114,84.1089,0,0.45488,0.07639,0,0,333.09,1935.35,1465.67,2923.27,2940.02,2742.16,4454.52,2925.24,2905.85,2040.07,5008.19,5430.66,4621.46,4621.46,2937.37,2933.37,2451.84,3334.07,3574.28,1617.13,6574.27,3145.16,2640.54,3947.98,2491.54,2850.76,2899.4,5420.78,3170.91,2979.95,1753.89,3267.3,2639.12,1634.22,4910.37
579,135.044,535.95,0,0.37282,0.42364,0,0,90.92,255.8,701.35,771.71,653.09,688.92,684.43,2409.72,2798.79,2385.22,1582.33,1529.6,1195.51,1195.51,3868.41,2588.19,2455.45,592.79,762.32,457.82,550.95,2534.29,2751.35,2355.31,647.48,466.68,448.3,531.88,2400.22,2387.8,6728.66,820.01,251.6,483.28,618.75
580,135.04401,517.185,0,0.48485,0.71702,0,0,145.11,322.1,921.04,1142.02,851.93,901.51,905.45,2505.25,2754.68,3131.47,487.52,1628.95,1497.82,1497.82,2063.04,2202.77,2959.77,978.39,905.28,569.54,687.8,2002.2,2447.98,3535.57,1146.29,1038.63,314.06,646.05,2236.28,2156.48,3139.73,1209.22,1614.62,864.23,942.58
581,135.04403,420.945,0,0.26943,0.73611,0,0,140.57,173.54,932.31,934.17,282.58,791.86,1448.57,2315.76,2520.57,2977.4,674.63,1374.67,711.08,711.08,2081.69,2516.04,2807.22,857.46,736.95,687.14,770.05,2224.47,2407.98,2984.58,715.21,1058.71,242.64,737.6,2405.97,2372.85,2603.53,984.88,1001.7,969.19,1071.88
621,136.11198,95.9751,0,0.73563,0.06938,0,0,18.73,631.69,1167.75,23500.7,23854.25,21360.17,5925.94,136.88,650.58,906.75,47982.64,41839.86,40419.14,40419.14,253.76,454.22,1244.05,23289,564.83,12610.85,399.92,114.03,585.13,994.9,454.48,561.85,664.64,443.92,155.73,339.92,1482.66,470.96,24993.8,758.87,1052.46
631,136.20964,714.898,0,0.67582,0.74111,0,0,0,0,0,0,0,0,0,823.57,1670.19,0,370.52,0,0,0,1521.5,496.33,0,0,0,0,0,1492.71,720.81,0,0,0,340.57,0,1339.02,1301.61,0,294.24,0,0,0
652,137.05965,853.629,0,0.00062,8e-05,0,0,109.82,308.17,937.25,817.25,855.96,852.43,821.66,387.02,521.54,635.99,778.4,997.86,670.19,670.19,355.08,433.15,943.7,2572.88,2044.07,2786.06,6882.7,316.41,529.86,770.03,1631.58,2341.47,3556.15,7597.84,307.73,529.21,972.01,2351.54,2408.04,3230.89,6261.09
653,137.0596,372.9235,0,0.01706,0.00429,0,0,232.58,380.71,1092.94,1245.72,1731.23,1434.49,1263.29,475.2,577.92,1402.12,1210.1,1230.65,1184.28,1184.28,509.72,874.43,1639.7,2168.45,3206.78,3279.79,4096.21,473.91,769.46,1672.45,1731.76,2637.35,3984.44,4645.14,478.84,767.89,1181.37,2153.99,2869.45,3681.46,3934.76
659,137.09604,859.933,0,0.02478,0.00293,0,0,119.99,386.57,1034.37,1174.39,1114.72,1084.72,1063.2,537.48,789.31,890.49,1160.72,1336.12,1007.7,1007.7,676.43,862.69,1327.62,3087.31,4228.43,3950.95,4657.69,629.17,886.12,1118.51,3151.87,4166.31,4466.42,4864.87,579.11,812.16,1408.41,2611.34,3844.76,4160.25,4970.61
660,137.09602,697.457,0,0.25573,0.69474,0,0,232.57,470.12,887.75,1808.92,1778.81,1830.18,1336.16,2375.2,2892.14,4625.51,2382.79,2182.66,2731.47,2731.47,2672.84,2612.96,4174.95,2094.8,1765.08,1286.84,1993.77,2272.22,2971.76,3558.32,2408.19,2079.21,1857.17,1878.23,2480.69,2678.77,3216.89,2291.44,1999.48,2127.99,1655.59
733,139.00249,125.474,0,0.07988,0.03123,0,0,83.03,247.82,541.83,707.97,472.03,686.88,440.42,8258.11,8100.27,5986.4,7201.96,8015.99,7654.44,7654.44,8255.07,6063.9,5796.36,937.22,613.81,1460.1,2376.61,8023.08,7245.23,6502.79,568.17,803.73,749.53,819.04,8176.85,7575.24,7026.23,223.38,1179.85,580.95,973.48
743,139.04994,99.4743,0,0.79109,0.00555,0,0,282.23,745.4,1312.81,1900.27,3441.57,4324.5,3755.22,890.83,914.39,1056.39,1735.62,1769.54,1174.37,1174.37,902.15,1132.61,1634.1,2039.03,2993.11,3614.04,7975.49,600.79,1374.71,1290.75,1750.94,3533.68,4672.4,3910.95,923.18,993.92,1113.99,2643.97,3032.16,3879.84,3608.24
750,139.12291,252.1495,0,0.36373,0.03465,0,0,307.59,823.47,1973.36,2597.86,2193.56,2596.41,2773.61,203.01,517.99,1076.69,1434.67,1430.22,1391.17,1391.17,289.28,724.76,1887.52,4620.36,4719.7,3464.56,2359.8,252.41,719.66,1792.43,4793.56,8391.03,5260.8,1935.88,221.32,616.31,1256.99,5359.89,8257.48,6652.76,710.23
814,140.9617,61.9207,0,0.21737,0.0394,0,0,4202.11,3544.88,3138.59,5160.19,8193.32,6589.34,10454.44,5222.96,5664.45,4341.07,10392.76,10024.98,11977.17,11977.17,6088.1,6456.39,6938.92,5300.91,6124.28,7425.4,5433.27,5054.24,6768.09,5360.89,5379.12,6205.04,7867.64,5016.21,5240.41,5563.11,5332.59,6881.45,5371.01,7115.23,5731.62
827,141.0509,60.62245,0,0.2915,0.21041,0,0,212.64,346.03,158.58,5216.12,6067.96,6686.98,861.16,916.94,724.96,1988.05,2039.35,3050.99,1744.35,1744.35,1068.24,758.76,1934.77,1315.81,1263.26,5065.29,6405.89,1145.99,1034.98,1774.88,5789.79,6319.5,1111.19,1705.53,992.09,823.29,1785.07,1294.84,6016.29,1464.68,6051.3
848,141.40555,409.844,0,0,0.01527,0,0,0,0,0,0,0,0,0,0,0,0,1908.63,2147.12,2316.89,2316.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.66
957,143.10656,1367.3,0,0.21598,0.72321,0,0,450.24,1866.99,3171.13,5179.29,5119.48,5145.13,1075.15,100.97,1434.6,3268.78,935.04,4758.71,4635.75,4635.75,385.04,773.71,3524.98,6132.12,4589.99,6266.02,5362.37,535.62,1320.79,4212.25,5282.86,2286.8,4407.45,5255.32,539.09,218.72,3074.96,1175.56,6569.44,4537.52,5084.84
1023,144.58698,65.2855,0,0.24134,0.54415,0,0,0,80.34,77.49,179.89,387.31,447.26,415.17,1310.53,3542.63,3011.41,2386.8,1634.08,920.87,920.87,2275.03,2907.32,2445.4,924.84,453.96,445.78,441.76,2230.16,3236.54,2996.19,938.63,365.4,689.23,509.38,2472.93,3835.05,3626.99,598.42,669.42,432.97,712.66
1205,146.98026,89.8965,0,0.26802,0.47539,0,0,500.17,1076.15,1607.81,3622.78,2520.2,3505.23,1058.71,409.7,77.8,289.61,4097.31,3951.63,3609.44,3609.44,320.96,186.43,205.56,2940.2,2332.59,3084.89,3112.27,617.36,162.68,108.97,1987.01,3279.83,2509.63,2071.35,224.77,133.65,0,2213.07,2017.56,2960.79,6947.78
1271,148.06024,517.767,0,0.45723,0.01754,0,0,199.75,641.66,1324.98,1645.28,2349.23,2544.99,1297.31,95.42,283.27,555.48,6910.18,8664.37,9346.36,9346.36,160.73,486.07,1081.93,2776.08,3250.82,3239.29,1359.24,124.16,296.41,1027.14,1654.47,3129.88,3461.99,1227.3,148.86,244.13,802.5,1589.06,3205.87,2832.88,701.39
1295,148.95322,89.7428,0,0.72251,0.74104,0,0,177.59,210.93,5708.05,7573.68,6005.04,6588.99,326.14,933.67,1651.65,5300.86,5917.45,3810.08,6024.71,6024.71,1037.66,1487.53,3960.47,6443.73,609.97,6425.63,6444.15,845.89,1370.18,4082.66,6834.36,5367.05,5818.25,6625.48,923.39,1300.67,4408.45,5163.08,5820.75,4757.95,5558.47
1296,148.97065,1363.21,0,0.77976,0.62702,0,0,14.56,1921.16,135.11,6487.87,7502.49,7241.45,268.57,616.39,2102.93,3704.68,6509.51,6922.85,5631.65,5631.65,40.82,2079.32,5291.68,6656.24,6628.03,6072.75,8267.94,586.47,1947.94,3918.17,8075.39,7109.97,7251.07,7242.07,505.1,1773.57,5085.87,6998.7,5717.73,292.48,7583.13
1339,149.05961,525.4745,0,0.14374,0.64279,0,0,359.25,726.99,1329.66,2080.31,2050.58,2446.43,2242,1893,2931.59,2687.34,2092.98,1637.21,1783.44,1783.44,2119.56,2372.91,3117.87,2412.46,2729.19,1754.89,1857.01,2051.56,2802.77,3213.9,2797.64,2275.51,2576.93,1680.4,1945.67,2447.98,3321.15,2113.69,2016.73,1723.97,1636.65
1401,151.03527,60.9459,0,0.28156,0.18378,0,0,712.14,4167.6,4375.9,14986.65,19126.7,20431.97,19653.04,25920.74,31243.24,28080.82,42241.94,45218.67,43852.02,43852.02,26789.14,30940.41,33043.66,31047.66,34123.53,36461.64,39530.17,25367.3,34530.18,30384.85,31210.68,35040.4,39627.86,39312.33,25767.95,28226.39,31713.4,35045.76,33173.59,37733,38883.93
1415,151.12293,92.36625,0,0.32009,0.61954,0,0,64.19,1763.8,4019.77,16389.95,15199.46,13115.94,21012.81,84.77,1854.47,3982.21,23785.89,22329.87,11524.94,11524.94,119.19,2682.96,3672.26,17709.9,12842.39,19669.59,2758.32,114.34,2217.03,3278.49,179.86,11759.13,15579.8,449.12,80.84,1941.47,3828.46,2591.31,7248.13,7913.29,4594.76
1437,152.07062,1361.14,0,0.44338,0.63751,0,0,235.32,716.08,920.74,2291.26,3274.58,3178.87,1299.87,203.28,894.24,2370.35,2056.78,1387.47,3178.8,3178.8,134,869.17,1198.26,1754.24,2543.3,1444.91,2404.44,106.39,789.79,1826.41,1528.5,2133.11,2060.89,2770.33,199.78,453.96,1996.61,2418.86,1337.99,1467.99,1456.56
1468,153.04063,191.092,0,0.03059,0.03664,0,0,34.71,70.67,182.38,127.83,141.43,200.59,121.31,4322.58,3297.05,2336.19,8672.83,5470.05,8868.85,8868.85,4506.73,2794.63,1456.24,328.84,244.34,235.55,247.21,4282.45,3226.48,3107.66,438.49,199.75,229.59,496.89,4192.8,3079.26,1993.45,382.98,426.67,192.65,388.45
1589,155.44369,773.867,0,0.10733,0.65144,0,0,0,0,0,0,0,0,0,991.26,889.78,688.28,0,0,0,0,890.15,765.84,691.49,0,0,0,0,843.2,880.45,827.34,0,0,0,0,901.4,856.38,973.72,335.09,320.35,337.04,0
1596,155.97413,92.30855,0,0.77976,0.01685,0,0,346.54,424.84,1131.99,4602.11,4776.39,4727.81,130.84,1009.59,678.05,1694.43,1369.89,912.38,949.65,949.65,639.51,918.36,1461.94,2495.84,3773.04,4026.01,707.69,375.2,595.85,2944.01,2352.15,3612.96,3439.5,568.31,411.83,1199.27,1259.34,1315.91,2923.83,2526.85,738.55
1605,156.04205,1360.81,0,0.46233,0.22976,0,0,290.06,652.45,2237.07,3306.3,4696.14,4116.96,2865.29,63.45,1219.3,2346.3,3425.01,3427.47,4626.16,4626.16,272.95,1076.37,2131.24,2624.72,3964.32,2710.47,4209.84,270.64,1672.55,1746.37,2252.24,2755.39,2055.1,4100.64,291.69,800.26,2891.46,3076.63,2475.98,3235.1,4075.55
1632,156.13816,1210.885,0,0.17884,0.04744,0,0,665.95,1989.88,4697.57,6030.97,6740.65,7348.14,6767.15,635.44,1882.83,4470.56,6831.23,5907.08,6353.92,6353.92,618.87,2019.29,4635.33,5602.29,6914.46,6137.68,6252.25,624.08,1978.92,4794.74,6428,6675.94,6187.72,26776.35,609.73,1817.22,4367.75,6274.44,6596.89,6018.86,6442.05
1673,156.99057,1071.61,0,0.31249,0.56803,0,0,1154.54,3828.64,8977.8,13369.36,13833.12,26144.17,22338.09,861.47,2600.22,5421.29,7077.82,6824.37,7675.82,7675.82,1086.59,3133.57,6857.45,14473.8,10218.53,11562.89,10486.53,839.58,3213.15,7111.58,9097.45,7490.56,10016.94,8608.18,788.04,4346.17,6182.39,8807.49,8407.57,8683.52,6696.06
1786,158.96125,363.771,0,0.73898,0.61001,0,0,3646.61,18702.55,24588.99,33540.52,29340.82,31109.3,52314.56,3361.66,12631.09,14904.78,23753.78,103567.55,31997.64,31997.64,2977.21,8147.68,24712.81,31611.71,30461.59,29601.8,27815.1,2847.69,9035.77,13798.73,30610.78,27480.91,28859.62,16756.42,2151.75,10612.38,18405.39,29557.16,27478.63,28303.7,27692
1842,159.09142,627.069,0,0.70414,0.1676,0,0,179.45,227.89,905.95,1221.4,1207.83,1088.33,1735.42,115.43,310.76,777.55,547.02,1182.82,1375.5,1375.5,101.44,600.59,870.91,1293.84,1515.71,1611.52,861.29,177.04,394.08,883.45,1662.09,1203.71,1448.18,1145.85,158.98,461.08,906.51,1117.56,1414.01,1002.76,704.73
1887,160.09671,415.479,0,0.61428,0.70091,0,0,1094.65,2662.1,7133.5,9049.8,10752.43,9271.7,1372.21,632.76,1708.39,4545.43,5520.91,6102.58,5410.34,5410.34,992.78,2630.5,6156.31,7845.74,7840.9,8235.33,8150.79,828.3,2158.71,5695.42,7240.37,1030.25,7169.71,1071.53,763.23,1919.8,5293.79,5791.09,6716.35,6432.26,6052.45
1918,161.05002,1364.41,0,0.24945,0.66872,0,0,384.83,821.54,2298.4,3971.51,4060.09,3849.12,7568.58,284.9,996.88,2269.82,2730.4,3013.06,2850.4,2850.4,323.33,976.74,3033.62,3256.54,3804.38,2603.85,3423.57,308.28,884.29,2132.07,3347.41,4096.18,3975.03,3605.27,305.14,903.21,2537.19,3694.33,2777.69,3287.17,3009.27
1965,162.11057,287.7495,0,0.1256,0.00556,0,0,172.84,315.11,1107.08,1217.24,1221.85,1682.76,1675.17,121.45,161.86,583.74,449.59,848.58,582.25,582.25,227.82,249.35,1374.88,1041.38,1017.57,1160.71,2822.92,121.58,263.55,602.47,1114.39,970.01,1148.58,3556.78,151.66,343.79,695.69,1140.65,1530.6,1557.97,2876.4
1975,162.95613,89.9556,0,0.29473,0.00831,0,0,1915.65,672.15,2626.66,2409.55,5659.04,1703.63,10014.43,144.72,160.79,1563.03,235.05,719.59,676.12,676.12,138.45,131.67,1374.76,1272.21,4780.34,6049.89,1928.61,149.57,161.86,1411.98,5097.81,5350.36,6802.54,8186.79,150.72,187.33,1206.92,5464.17,6008.54,5514.26,1858.24
1983,163.03877,517.185,0,0.07025,0.20668,0,0,191.49,612.91,1247.2,1455.72,1611.34,1336.39,1500.23,12802.43,14587.19,14300.88,8349.3,10426.04,8704.4,8704.4,10767.98,10851.29,12637.56,5322.88,1871.89,1019.71,1559.25,11181.16,13871.8,12467.51,4689.26,2675.09,1314.26,1491.03,12530.77,12373.33,13899.21,6351.43,3305.83,1972.79,1175.42
1984,163.03881,420.8125,0,0.07642,0.11451,0,0,216.98,558.99,1411.45,1787.39,1460.3,1695.17,1740.56,13473.13,13672.76,12360.74,8807.62,9767.97,9122.77,9122.77,11419.34,10604.05,12335.85,4025.84,755.08,1589.04,1756.22,11451.68,12472.27,12372.9,3456.46,1123.93,1613.9,1723.22,12688.42,11925.22,13494.99,5509.95,2246.24,1727.92,1656.48
1985,163.0387,828.93,0,0.5511,0.6268,0,0,484.77,1329.89,3178.58,3990.11,4123.05,3834.89,4260.75,3130.32,4428.83,5124.36,3096.68,4691.31,4206.91,4206.91,3201.97,3886,5458.59,4764.96,3309.47,3951.74,3922.01,2890.52,5711.17,5121.05,3540.72,4186.67,4061.13,3834.85,3212.74,4185.46,6983.64,4720.54,4324.61,3336.45,1892.41
1986,163.0388,537.016,0,0.15243,0.16262,0,0,151.44,399.73,1039.76,1121.36,1096.25,1207.66,1238.2,12819.09,15294.38,11110.08,7492.61,8236.67,8247.88,8247.88,21036.28,12826.45,23815.84,1260.07,1245.25,1198.25,1310.79,13123.87,14561.81,11175.15,974.93,1194.01,1028.91,1093.43,13093.26,13276.99,13049.89,2388.13,1067.82,1325.57,1165.89
1988,163.0386,871.001,0,0.27435,0.71858,0,0,415.63,1345.03,2796.02,3729.72,3791.9,3918.03,3639.64,3938.53,4709.43,5049.26,5006.61,5425.24,4445.77,4445.77,3013.52,3676.46,4121.49,4916.45,4228.91,3454.07,3328.3,3221.54,4962.63,4413.47,4532.31,4457.4,4757.92,3996.53,3540.01,4471.06,5234.79,4905.06,3341.51,4013.56,3346.66
1989,163.03881,583.276,0,0.56076,0.62724,0,0,526.25,1451.38,3591.07,4792.19,3588.13,4607.03,4648.63,5328.06,6435.8,3928.65,3498.45,3645.03,4109.13,4109.13,5511.96,5558.45,4973.75,4094.63,4889.83,3955.5,3801.51,5313.62,6589.97,4459.32,4325.14,4290.59,4059.68,3505.98,5352.39,6058.18,5411.83,14685.97,3761.82,3604.6,4096.14
1996,163.05995,114.969,0,0.07251,0.24015,0,0,370.52,926.91,2139.04,3628.57,3646.02,4713.2,2371.06,1309.74,1706.11,1196.54,2217.37,2192.8,2454.2,2454.2,1440.59,1703.23,2844.38,3054.02,2121.55,2408.71,1949.68,1213.54,1597.88,1968.63,2930.67,2522.3,3377.31,2134.04,1313.96,1535.13,1924.01,1194.91,2306.41,3753.55,1756.56
2002,163.08645,118.527,0,0.19041,0.72932,0,0,392.48,858.54,1733.65,2173.81,2598.02,3185.2,1041.29,3887.58,731.99,1607.2,1227.01,1342.35,1159.51,1159.51,3897.16,1988.92,2776,1081.05,1794.87,1488.64,957.44,4018.49,1728.63,1979.08,1526.94,1610.89,2374.41,765.56,3779.32,1869.52,2052.51,1072.62,1544.66,2252.83,1562.47
2050,164.07854,1246.975,0,0.56799,0.53625,0,0,448.23,1243.39,2737.56,3118.04,4508.96,5714.12,4020.99,320.6,771.87,2132.2,3563.87,2826.21,2974.56,2974.56,419.02,747.72,1995.09,2946.34,3245.46,3906.1,3569.89,490.76,988.47,1879.69,3754.84,2253.96,2381.85,5885.64,342.61,1514.94,2435.72,3222.76,3514.47,3307.81,2898.78
2073,165.05446,936.4205,0,0.33193,0.43127,0,0,133.52,444.63,848.67,1260.2,1462.93,1652.78,1277.65,800.45,1608.79,2598.9,2753.66,1277.28,3249.83,3249.83,1068.65,1395.78,1567.41,1527.32,3407.93,3378.71,2867.32,832.07,1614.14,2341.05,2998.96,3232.52,2849.77,2144.2,807.55,1101.47,2066.29,2000.27,1751.01,3115.83,1058.58
2075,165.05451,729.724,1,0.28001,0.07266,0,0,232.56,546.1,1181.72,1212.12,1202.08,1237.37,817.78,2291.05,2520.41,2740.06,3355.37,3514.56,2669.62,2669.62,2398.52,2249.55,2928.26,1267.17,942.41,1648.64,910.84,2225.55,2557.16,3052.73,1280.79,812.14,941.48,856.68,2209.88,2389.09,3219.55,2572.22,608.64,377.24,972.13
2113,166.04049,851.948,0,0.69704,0.50167,0,0,344.68,1027.14,2321.8,3124.46,2700.36,2889.81,3780.92,310.14,843.39,1482.78,1937.32,1990.74,1568.65,1568.65,278.28,953.16,2208.33,3042.48,2938.47,1774.27,435.67,235.6,848.27,1786.5,1909.99,2308.69,2207.58,2087.98,171.13,698.61,1381.34,2221.38,493.72,2284.1,513.65
2134,166.09745,1360.095,0,0.22,0.73401,0,0,1011,1928.99,3142.93,12411.06,11542.18,14896.94,2833.59,1478.66,3856.14,11210.4,7360.65,5767.26,11674.14,11674.14,594.02,4304.04,5935.52,6279.6,12966.07,6824.94,16565.6,507.32,5131.09,4691.99,6088.51,10411.81,9447.45,15987.01,585.07,1654.09,10571.17,7579.69,6322.94,5738.61,3735.11
2164,166.99293,89.4705,0,0.19463,0.02155,0,0,347.07,357.63,981.39,1273.22,1047.62,925.77,751.88,313.76,192.03,412.43,0,0,0,0,342.46,567.89,1880.15,335.16,774.61,797.06,4936.97,380.88,308.29,1553.18,0,0,0,2295.24,316.78,238.49,405.32,323.22,490.43,1574.65,1404.56
2177,167.05965,852.652,0,0.61574,0.38992,0,0,251.24,668.45,1461.35,617.45,994.9,577.71,548.39,211.05,449.95,1049.04,1938.57,1777,1895.37,1895.37,245.64,753.79,1589.13,3437.17,4626.84,4510.22,699.09,215.34,671.83,1357.35,590.08,514.39,477.17,5107.84,221.94,667.72,1065.9,4535.62,493.21,623.4,4519.5
2201,167.15421,1331.79,0,0.47395,0.12018,0,0,96.93,346.68,1173.65,1524.94,1716.15,1812,1618.98,350.85,1277.54,2580.95,4733.48,4400.54,4783.11,4783.11,108.48,257.87,715.73,1495.69,1606.89,2062.67,2058.49,158.69,577.48,1419.06,2031.55,2398.58,2670.82,2628.76,219.53,913.15,2228.6,2507.56,3559.21,3200.19,3547.48
