"index","mzmed","rtmed","matched","qSvsMB","qSvsNC","swipesRight","swipesTotal","MB_0","MB_1","MB_2.5","MB_4.5","MB_6.5","MB_8.5","MB_26.5","NC_0","NC_1","NC_2.5","NC_4.5","NC_6.5","NC_8.5","NC_26.5","S1_0","S1_1","S1_2.5","S1_4.5","S1_6.5","S1_8.5","S1_26.5","S2_0","S2_1","S2_2.5","S2_4.5","S2_6.5","S2_8.5","S2_26.5","S3_0","S3_1","S3_2.5","S3_4.5","S3_6.5","S3_8.5","S3_26.5"
32505,603.33213,317.676,0,0.72857,0.54327,0,0,0,84.75,2433.75,3139.36,3749.33,4684.74,2894.22,0,262.47,3299.63,2912.76,9581.56,2474.38,2474.38,0,59.17,2112.29,2332.02,4430.96,5505.88,3557.85,0,195.26,1261.16,3827.59,2201.5,5202.28,5295.68,0,50.27,3314.31,1614.52,3214.44,4886.19,6199.66
32512,603.38856,876.381,0,0.1491,0.02279,0,0,0,0,0,0,0,0,0,2439.41,2945.12,3666.07,3035.23,2924.51,3686.16,3686.16,2613.97,3011.31,2573.7,929.05,0,0,0,2202.58,3097.51,3321.92,1160.51,196.54,0,0,2528.42,3418.28,3050.72,1049.11,0,0,0
32513,603.3885,1106.22,0,0.17291,0.50311,0,0,0,0,0,0,595.78,416.28,0,1210.05,738.37,238.98,1278.58,663.4,913.47,913.47,1192.73,908.22,906.15,0,0,505.02,986.33,982.17,1346.02,481.48,374.03,337.72,0,462.9,1007.93,936.47,387.89,1516.45,830.16,947.8,422.54
32519,603.73941,902.314,0,0.3361,0.33704,0,0,0,0,0,0,0,0,0,835.48,1408.58,1261.61,246.46,836.73,794.6,794.6,1169.36,1399.04,1581.24,338.81,0,496.83,268.3,1112.86,1628.51,1828.24,347.13,0,0,0,917.01,1219.74,618.25,0,0,0,0
32534,604.18103,448.151,0,0.55161,0.68277,0,0,0,0,0,0,0,0,0,1023.7,1057.39,231.33,0,0,0,0,1275.27,410.44,489.73,0,485.85,507.49,0,1147.4,696.55,489.94,0,533.4,0,0,1288.92,565.38,1295.51,0,0,0,0
32539,604.24394,935.9855,0,0.68429,0.26293,0,0,0,39.02,0,0,0,0,0,953.06,1657.11,2720.32,1201.41,2276.1,1767.74,1767.74,1496.9,1648.08,2049.79,878.49,510.22,232.65,0,1071.23,2065.9,2046.62,1201.18,979.54,606.95,0,1142.04,1836.92,2437.19,1361.68,765.04,2132.13,185.85
32601,605.29955,287.667,0,0.74853,0.12806,0,0,0,90.12,773.15,192.09,1021.47,981.1,738.16,0,50.45,1639.49,1051.79,1228.43,418.97,418.97,0,85.66,2584.04,430.98,811.82,1426.45,5264.09,0,35.33,985.31,1119.15,1086.18,1274.93,2462.25,0,0,1758.32,152.47,1277.89,1265.97,1826.65
32667,607.21437,868.925,0,0.02524,0.00756,0,0,0,0,0,0,0,73.47,0,13.63,374.42,308.73,319.17,365.17,201.97,201.97,8.42,379.91,496.15,2317.53,4698.31,4456.62,4605.55,5.69,499.48,147.8,3039.16,3977.4,4529.42,4389.7,7.02,280.4,278.49,3218.86,4611.81,4775.51,4841.15
32668,607.21434,932.1195,0,0.06879,0.01375,0,0,0,0,0,0,0,0,0,202.29,269.94,228.18,118.75,133.55,138.59,138.59,249.03,195.44,261.12,3148.36,5062.15,4692.12,3481.74,183.26,259.45,183.52,4458.31,5503.34,5487.55,4424.5,217.88,219.55,131.15,3822.6,4706.81,5442.72,4615.26
32671,607.25467,1332.14,0,0.39807,0.67837,0,0,0,0,0,0,0,0,0,524.94,815.04,458.03,380.4,0,0,0,795.53,1188.54,750.74,0,0,0,0,389.9,1475.85,363.26,0,0,0,0,606.86,500.83,419.35,0,0,0,0
32751,608.95246,311.1185,0,0.57823,0.13713,0,0,0,184.7,813.68,452.67,1320.12,685.52,1124.88,0,48.73,1589.57,1897.64,2145.21,3614.15,3614.15,0,267.34,1360.05,1587.98,2352.6,2625.69,589.45,0,55.25,885.5,1379.04,1819.02,2838.27,2806.25,0,60.86,1597.17,936.28,1557.17,2098.41,2677.59
32761,609.22988,881.129,0,0.05413,0.01069,0,0,0,0,0,0,0,0,0,192.06,67.42,0,0,0,0,0,220.15,0,0,1026.37,1629.43,2849,2292.01,114.12,0,0,1612.83,1828.93,2358.35,2205.82,149.93,0,0,1239.8,2229.53,2716.28,2937.79
32794,609.89353,1299.995,0,0.7284,0.01139,0,0,0,0,0,0,0,0,0,0,0,0,2073.98,4324.59,4621.27,4621.27,0,0,0,0,426.13,0,0,0,0,0,0,0,0,587.95,0,0,0,0,0,0,0
32857,611.12483,713.629,0,0.36229,0.67675,0,0,0,0,0,0,0,0,0,1076.33,1247.4,1041.74,0,0,0,0,1410.77,1126.29,1033.62,418.24,0,632.71,0,1620.88,798.6,1218.08,0,570.44,605.28,346.57,1308.85,1013.07,1042.13,0,0,0,694.63
