"user","polarity","ind","mz","rt","swipe","date"
"Louise","Pos","11104","307.11475","597.43","Right","2017-10-04 15:20:51"
"Louise","Pos","39940","828.4731","970.5245","Right","2017-10-04 15:20:51"
"Louise","Pos","40550","864.3578","970.3905","Right","2017-10-04 15:20:51"
"Louise","Pos","24715","479.11786","750.784","Right","2017-10-04 15:20:51"
"Louise","Pos","22017","442.26936","538.3935","Right","2017-10-04 15:20:51"
"Louise","Pos","8741","277.10431","525.522","Right","2017-10-04 15:20:51"
"Louise","Pos","37153","718.77789","939.9485","Right","2017-10-04 15:20:51"
"Louise","Pos","31769","589.12144","63.052","Up","2017-10-04 15:20:51"
"Louise","Pos","22930","454.69999","970.2955","Right","2017-10-04 15:20:51"
"Louise","Pos","23970","468.80067","1111.22","left","2017-10-04 15:20:51"
"Louise","Pos","22030","442.51174","750.194","left","2017-10-04 15:20:51"
"Louise","Pos","4618","209.15345","650.1885","Right","2017-10-04 15:20:51"
"Louise","Pos","10198","295.99736","640.56","Right","2017-10-04 15:20:51"
"Louise","Pos","6923","249.11153","686.395","Up","2017-10-04 15:20:51"
"Louise","Pos","29794","554.1301","456.0715","left","2017-10-04 15:20:51"
"Louise","Pos","6115","236.03737","356.737","Right","2017-10-04 15:27:30"
"Louise","Pos","21785","440.06598","62.2887","Up","2017-10-04 15:27:30"
"Louise","Pos","7408","257.08056","1142.825","Up","2017-10-04 15:27:30"
"Louise","Pos","3608","191.09288","310.229","Up","2017-10-04 15:27:30"
"Louise","Pos","6235","238.07065","118.2205","Up","2017-10-04 15:27:30"
"Louise","Pos","10138","295.11313","83.0647","Right","2017-10-04 15:27:30"
"Louise","Pos","12665","327.15988","271.643","Right","2017-10-04 15:27:30"
"Louise","Pos","25153","485.32562","902.3225","Right","2017-10-04 15:27:30"
"Louise","Pos","10125","295.01334","482.904","Right","2017-10-04 15:27:30"
"Louise","Pos","39269","795.27569","818.849","Right","2017-10-04 15:27:30"
"Louise","Pos","11311","310.12801","759.27","left","2017-10-04 15:27:30"
"Louise","Pos","10241","296.25545","925.7875","left","2017-10-04 15:27:30"
"Louise","Pos","24718","479.11791","705.038","Right","2017-10-04 15:27:30"
"Louise","Pos","42205","1082.44566","994.996","Right","2017-10-04 15:27:30"
"Louise","Pos","11278","309.27827","1042.515","Up","2017-10-04 15:27:30"
"Louise","Pos","34670","652.60398","355.906","left","2017-10-04 15:27:30"
"Louise","Pos","42230","1092.55767","948.997","Right","2017-10-04 15:27:30"
"Louise","Pos","17494","385.18299","747.383","left","2017-10-04 15:27:30"
"Louise","Pos","32667","607.21437","868.925","Right","2017-10-04 15:27:30"
"Louise","Pos","10306","297.242","976.609","left","2017-10-04 15:27:30"
"Louise","Pos","41879","1007.48131","994.776","Right","2017-10-04 15:27:30"
"Louise","Pos","40408","853.45703","903.105","Right","2017-10-04 15:27:30"
"Louise","Pos","5372","224.03716","678.108","Right","2017-10-04 15:27:30"
"Louise","Pos","38884","777.85297","655.2135","left","2017-10-04 15:27:30"
"Louise","Pos","21988","442.19127","938.345","Up","2017-10-04 15:27:30"
"Louise","Pos","848","141.40555","409.844","left","2017-10-04 15:27:30"
"Louise","Pos","28901","540.23437","960.603","Right","2017-10-04 15:27:30"
"Louise","Pos","26221","499.34134","994.7155","Right","2017-10-04 15:27:30"
"Louise","Pos","42329","1125.50842","958.36","Right","2017-10-04 15:27:30"
"Louise","Pos","23045","456.08011","106.557","Right","2017-10-04 15:27:30"
"Louise","Pos","12665","327.15988","271.643","Right","2017-10-04 15:27:30"
"Louise","Pos","41431","944.52061","1015.095","Right","2017-10-04 15:27:30"
"Louise","Pos","18874","401.99058","984.86","Up","2017-10-04 15:27:30"
"Louise","Pos","25047","484.16551","99.3025","Right","2017-10-04 15:27:30"
"Louise","Pos","6305","239.20015","903.959","left","2017-10-04 15:27:30"
"Louise","Pos","20380","421.30943","876.404","Right","2017-10-04 15:27:30"
"Louise","Pos","9834","291.11985","903.382","Right","2017-10-04 15:27:30"
"Louise","Pos","32482","603.13417","828.644","left","2017-10-04 15:27:30"
"Louise","Pos","20339","421.13042","560.821","left","2017-10-04 15:27:30"
"Louise","Pos","42506","1249.58408","937.319","Right","2017-10-04 15:27:30"
"Louise","Pos","35852","682.66822","575.958","left","2017-10-04 15:27:30"
"Louise","Pos","41789","995.48109","890.332","Right","2017-10-04 15:27:30"
"Louise","Pos","7043","251.09111","870.658","left","2017-10-04 15:27:30"
"Louise","Pos","9664","289.03912","868.577","Right","2017-10-04 15:27:30"
"Louise","Pos","16700","374.65325","337.695","Right","2017-10-04 15:27:30"
"Louise","Pos","7092","252.03221","356.482","Right","2017-10-04 15:27:30"
"Louise","Pos","8461","273.09413","284.856","Right","2017-10-04 15:27:30"
"Louise","Pos","9347","285.13045","587.0905","Right","2017-10-04 15:27:30"
"Louise","Pos","32982","613.37282","955.656","Right","2017-10-04 15:27:30"
"Louise","Pos","40865","886.47804","975.501","Right","2017-10-04 15:27:30"
"Louise","Pos","26647","505.211","804.362","Right","2017-10-04 15:27:30"
"Louise","Pos","33983","635.20916","967.632","Right","2017-10-04 15:27:30"
"Louise","Pos","23127","457.00874","1071.975","Right","2017-10-04 15:27:30"
"Louise","Pos","10557","301.03383","984.168","Right","2017-10-04 15:27:30"
"Louise","Pos","12273","321.99791","93.53885","left","2017-10-04 15:27:30"
"Louise","Pos","11669","315.0494","1071.975","Right","2017-10-04 15:27:30"
"Louise","Pos","21748","439.32012","936.438","left","2017-10-04 15:27:30"
"Louise","Pos","11746","316.03402","483.9175","Right","2017-10-04 15:27:30"
"Louise","Pos","25257","487.08421","757.608","Right","2017-10-04 15:27:30"
"Louise","Pos","7228","254.09953","569.442","left","2017-10-04 15:27:30"
"user","polarity","ind","mz","rt","swipe","date"
"Charlie","Pos","189","127.03903","193.165","Right","2017-10-05 15:24:18"
"Charlie","Pos","189","127.03903","193.165","Right","2017-10-05 15:24:18"
"Charlie","Pos","6364","241.06777","673.373","left","2017-10-05 15:24:18"
"Charlie","Pos","9121","281.98165","520.1005","Right","2017-10-05 15:24:18"
"Charlie","Pos","29617","551.22692","960.976","Right","2017-10-05 15:24:18"
"Charlie","Pos","31892","591.21916","960.957","Right","2017-10-05 15:24:18"
"Charlie","Pos","42665","1450.53315","899.4995","Right","2017-10-05 15:24:18"
"Charlie","Pos","37127","718.28778","899.4715","Right","2017-10-05 15:24:18"
"Charlie","Pos","17489","385.16206","855.902","Right","2017-10-05 15:24:18"
"Charlie","Pos","37448","727.27398","899.412","Right","2017-10-05 15:24:18"
"Charlie","Pos","37465","727.77556","899.802","Right","2017-10-05 15:24:18"
"Charlie","Pos","6361","241.03918","867.557","left","2017-10-05 15:24:18"
"Charlie","Pos","42646","1419.60272","899.412","Right","2017-10-05 15:24:18"
"Charlie","Pos","14004","343.15335","798.7345","Right","2017-10-05 15:24:18"
"Charlie","Pos","19703","413.15659","901.027","Right","2017-10-05 15:24:18"
"Charlie","Pos","42642","1414.64793","898.538","Right","2017-10-05 15:24:18"
"Charlie","Pos","7656","261.02225","72.1468","Right","2017-10-05 15:24:18"
"Charlie","Pos","3879","196.06024","463.9285","Right","2017-10-05 15:24:18"
"Charlie","Pos","9569","288.0532","261.312","Up","2017-10-05 15:24:18"
"Charlie","Pos","6130","236.11247","672.8525","left","2017-10-05 15:24:18"
"Charlie","Pos","12512","325.14283","798.884","Right","2017-10-05 15:24:18"
"Charlie","Pos","42633","1403.60847","939.484","Right","2017-10-05 15:24:18"
"Charlie","Pos","7217","254.0476","628.884","Up","2017-10-05 15:24:18"
"Charlie","Pos","37155","718.78959","899.1765","Right","2017-10-05 15:24:18"
"Charlie","Pos","42659","1434.53828","939.484","Right","2017-10-05 15:24:18"
"Charlie","Pos","42630","1398.6533","939.3685","Right","2017-10-05 15:24:18"
"Charlie","Pos","652","137.05965","853.629","Right","2017-10-05 15:24:18"
"Charlie","Pos","42624","1381.62667","939.3085","Right","2017-10-05 15:24:18"
"Charlie","Pos","36884","710.79186","939.624","Right","2017-10-05 15:24:18"
"Charlie","Pos","9595","288.14641","259.9165","Up","2017-10-05 15:24:18"
"Charlie","Pos","36864","710.29004","939.9415","Right","2017-10-05 15:24:18"
